ITEM DESCRIPTION,CATEGORY,SUB-CATEGORY,UNIT,JANUARY_2021,FEBRUARY_2021,MARCH_2021,APRIL_2021,MAY_2021,JUNE_2021,JULY_2021,AUGUST_2021,SEPTEMBER_2021,OCTOBER_2021,NOVEMBER_2021,DECEMBER_2021,Rate per Month_2021,TOTAL_2021,JANUARY_2022,FEBRUARY_2022,MARCH_2022,APRIL_2022,MAY_2022,JUNE_2022,JULY_2022,AUGUST_2022,SEPTEMBER_2022,OCTOBER_2022,NOVEMBER_2022,DECEMBER_2022,Rate per Month_2022,TOTAL_2022,JANUARY_2023,FEBRUARY_2023,MARCH_2023,APRIL_2023,MAY_2023,JUNE_2023,JULY_2023,AUGUST_2023,SEPTEMBER_2023,OCTOBER_2023,NOVEMBER_2023,DECEMBER_2023,Rate per Month_2023,TOTAL_2023
"Lysercell WDF (WDF-210A), Aw993605 - Sysmex 79",Medical Items,Laboratory Test Kits,Box,0,0,9,4,4,0,0,0,1,4,0,0,1.833333333,22,5,4,7,3,2,2,0,0,0,0,1,0,2,24,1,0,5,2,2,1,2,0,0,0,0,0,1.083333333,13
"Lysercell WNR (WNR-210A), An577063 - Sysmex 79",Medical Items,Laboratory Test Kits,Box,0,1,9,5,6,3,4,0,0,1,0,2,2.583333333,31,0,4,6,1,0,4,6,0,0,2,0,0,1.916666667,23,1,3,5,2,2,1,2,0,0,0,0,0,1.333333333,16
Macconkey Agar 500gm 79,Medical Items,Laboratory Test Kits,Bottle,0,3,0,0,0,3,0,4,0,3,3,0,1.333333333,16,0,2,2,1,0,0,0,0,2,0,1,0,0.666666667,8,3,0,0,0,0,0,0,0,0,0,0,0,0.25,3
Magnesium - Vitros - 5pk/90 Slides 79,Medical Items,Laboratory Test Kits,Kit,5,0,0,4,0,0,3,2,0,0,4,4,1.833333333,22,1,0,5,2,0,0,0,0,0,0,4,3,1.25,15,2,0,2,5,2,0,3,0,0,0,0,0,1.166666667,14
Magnesium Sulphate 50% Injection 79,Medical Items,Pharmaceuticals,Ampule,195,7,15,1,0,91,103,3,4,0,1,2,35.16666667,422,192,8,16,0,0,93,99,0,1,0,2,0,34.25,411,195,10,15,0,0,95,100,0,0,0,0,0,34.58333333,415
Magnesium Sulphate Paste 100gm 79,Medical Items,Medical Consumables,Bottle,1,0,0,2,0,2,0,2,0,1,0,0,0.666666667,8,0,0,0,0,0,1,2,0,0,4,2,0,0.75,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magnetic Resonance Imaging (MRI) Requisition 79,General Items,Printed Items,Pad,1,2,0,4,0,3,1,1,0,1,4,0,1.416666667,17,0,1,0,4,0,2,0,4,0,0,0,0,0.916666667,11,0,0,0,4,0,0,0,0,0,0,0,0,0.333333333,4
mALB Performance Verifier I 79,Medical Items,Laboratory Consumables,Box,3,0,0,3,2,3,1,4,0,3,0,0,1.583333333,19,3,0,0,2,0,0,1,0,0,2,0,0,0.666666667,8,0,1,0,0,2,0,0,0,0,0,0,0,0.25,3
mALB Performance Verifier II 79,Medical Items,Laboratory Consumables,Box,1,0,0,2,4,0,0,0,1,3,0,0,0.916666667,11,5,0,2,0,0,1,0,3,0,0,0,2,1.083333333,13,1,0,0,0,1,0,0,0,0,0,0,0,0.166666667,2
mALB RGT Pack Bx 6/50T 79,Medical Items,Laboratory Test Kits,Kit,0,3,0,4,0,4,7,2,1,3,2,0,2.166666667,26,0,5,0,4,0,0,5,3,2,0,1,3,1.916666667,23,1,2,1,2,0,2,3,0,0,0,0,0,0.916666667,11
Male Condom Catheter - (Small) 79,Medical Items,Medical Consumables,Numbers,0,0,4,0,3,0,0,0,4,0,4,3,1.5,18,0,0,1,4,2,2,2,0,0,0,0,0,0.916666667,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male Condom Catheter - 25mm (Medium) 79,Medical Items,Medical Consumables,Numbers,8,16,21,1,0,0,0,1,0,0,0,0,3.916666667,47,11,23,24,1,0,3,4,0,4,0,1,3,6.166666667,74,10,20,20,0,0,0,0,0,0,0,0,0,4.166666667,50
Male Condom Catheter - 30mm (Large) 79,Medical Items,Medical Consumables,Numbers,14,19,21,0,15,0,0,3,0,4,2,4,6.833333333,82,6,15,22,0,17,2,0,2,0,0,0,3,5.583333333,67,10,20,20,0,20,0,0,0,0,0,0,0,5.833333333,70
Mama Lime - Dish Washing Liquid 450ml 79,General Items,General Items,Bottle,7,19,9,0,3,0,5,3,1,2,3,0,4.333333333,52,8,21,8,4,0,2,4,0,3,2,0,3,4.583333333,55,11,19,6,5,2,5,1,0,0,0,0,0,4.083333333,49
Marker - Fine Wonder Marker - Black - Zebra 79,General Items,Stationary,Numbers,34,14,20,22,13,13,21,0,0,0,3,0,11.66666667,140,27,17,15,22,16,14,21,1,0,0,0,1,11.16666667,134,31,15,20,21,15,14,25,0,0,0,0,0,11.75,141
Marker - Fine Wonder Marker - Blue - Zebra 79,General Items,Stationary,Numbers,34,20,37,22,31,15,27,2,4,0,1,3,16.33333333,196,29,24,39,26,31,9,34,0,0,0,0,3,16.25,195,33,25,35,27,33,14,32,0,0,0,0,0,16.58333333,199
Marker - Fine Wonder Marker - Red - Zebra 79,General Items,Stationary,Numbers,13,3,3,8,1,0,11,0,4,1,0,2,3.833333333,46,12,0,4,17,0,0,11,3,0,1,3,0,4.25,51,9,5,0,13,0,0,16,0,0,0,0,0,3.583333333,43
Marker - Permanant Marker - Black 79,General Items,Stationary,Numbers,0,0,2,0,12,4,6,0,0,0,2,4,2.5,30,0,2,4,6,11,2,9,0,0,0,0,0,2.833333333,34,2,2,0,2,10,5,5,0,0,0,0,0,2.166666667,26
Marker - Permanant Marker - Blue 79,General Items,Stationary,Numbers,4,1,8,10,3,7,0,1,0,2,1,0,3.083333333,37,7,2,5,3,4,7,0,3,4,3,0,0,3.166666667,38,7,3,7,6,7,10,2,0,0,0,0,0,3.5,42
Marker - Permanant Marker - Red 79,General Items,Stationary,Numbers,4,2,1,0,0,2,3,2,0,0,3,0,1.416666667,17,0,0,0,0,1,1,0,1,4,0,3,0,0.833333333,10,0,0,0,2,5,0,0,0,0,0,0,0,0.583333333,7
Marker - White Board - Black 79,General Items,Stationary,Numbers,17,7,12,0,1,5,4,4,0,0,2,4,4.666666667,56,23,6,9,3,3,7,9,0,0,0,0,2,5.166666667,62,19,7,10,0,5,7,7,0,0,0,0,0,4.583333333,55
Marker - White Board - Blue 79,General Items,Stationary,Numbers,50,29,10,2,10,17,13,0,1,3,0,0,11.25,135,45,25,12,3,4,9,10,0,1,0,0,3,9.333333333,112,49,27,9,0,8,14,9,0,0,0,0,0,9.666666667,116
Marker - White Board - Red 79,General Items,Stationary,Numbers,5,0,0,3,6,3,4,1,0,0,4,4,2.5,30,6,1,7,0,0,10,0,0,1,0,0,0,2.083333333,25,7,2,5,0,2,8,0,0,0,0,0,0,2,24
Mask - N95 3m Mask - PPE 79,Medical Items,Medical Consumables,Numbers,43,22,52,53,252,0,397,1,2,0,0,3,68.75,825,35,19,50,46,250,0,403,0,2,0,0,0,67.08333333,805,40,20,50,50,250,0,400,0,0,0,0,0,67.5,810
"Mask For Resuscitator - No: 2, 80-11-002 79",Medical Items,Medical Consumables,Numbers,0,0,4,0,2,4,1,0,4,0,0,0,1.25,15,0,2,0,0,1,1,0,0,0,4,3,0,0.916666667,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mask For Resuscitator - No:1 , 80-11-001 79",Medical Items,Medical Consumables,Numbers,4,0,0,0,2,0,0,0,0,0,1,1,0.666666667,8,3,0,0,1,0,0,0,0,0,0,1,2,0.583333333,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mask Kit - Adjustable Venture Mask Kit - 1107 79,Medical Items,Medical Consumables,Set,14,9,13,7,18,13,34,0,0,0,0,0,9,108,19,0,11,14,19,9,35,3,2,2,1,0,9.583333333,115,15,5,12,12,20,10,38,0,0,0,0,0,9.333333333,112
Maxelon - Metoclopramide Injection / Perinorm 79,Medical Items,Pharmaceuticals,Ampule,18,7,6,22,24,34,5,0,0,2,1,3,10.16666667,122,13,7,14,21,21,36,6,0,0,1,0,0,9.916666667,119,18,5,10,20,20,35,10,0,0,0,0,0,9.833333333,118
Measuring Tape - Sewing Machine 79,General Items,General Items,Numbers,0,1,3,0,1,0,0,0,0,3,0,0,0.666666667,8,0,0,0,4,0,0,0,0,2,0,1,4,0.916666667,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medical Certificate - A5 79,General Items,Printed Items,Pad,77,46,3,4,0,0,0,1,3,0,1,0,11.25,135,75,51,2,4,2,3,0,3,0,1,3,2,12.16666667,146,78,48,1,0,0,0,0,0,0,0,0,0,10.58333333,127
Medical Examination - A4 79,General Items,Printed Items,Sheet,8,2,3,1,0,1,0,0,1,0,2,0,1.5,18,10,0,2,0,0,2,0,1,2,0,2,0,1.583333333,19,10,0,0,0,0,0,0,0,0,0,0,0,0.833333333,10
Medical Examination for Migrant Health Assessment Form (H-80) - A3 79,General Items,Printed Items,Sheet,297,0,0,2,200,1,0,0,1,0,0,0,41.75,501,298,0,0,1,197,3,0,4,4,0,0,0,42.25,507,300,0,0,0,200,0,0,0,0,0,0,0,41.66666667,500
Meditape UC-9A  79,Medical Items,Laboratory Test Kits,Box,4,0,1,2,0,0,2,0,0,3,3,3,1.5,18,6,0,7,7,0,3,3,3,3,2,0,3,3.083333333,37,2,2,6,3,2,1,3,0,0,0,0,0,1.583333333,19
Meliseptol Wipes (For Machine Disinfectant) 79,Medical Items,Medical Consumables,Bottle,71,65,40,61,44,57,41,4,0,0,0,4,32.25,387,74,60,41,57,45,57,38,0,0,3,0,0,31.25,375,73,62,38,60,44,62,38,0,0,0,0,0,31.41666667,377
Meropenem 10mcg 79,Medical Items,Laboratory Test Kits,Kit,0,3,0,1,0,4,2,0,0,0,0,4,1.166666667,14,0,0,2,0,0,0,0,0,1,0,0,0,0.25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methylergometrine Inj. Ip 1ml - Methergin 79,Medical Items,Pharmaceuticals,Ampule,22,25,1,19,39,0,0,0,0,0,0,4,9.166666667,110,18,21,1,19,37,3,0,4,2,0,0,0,8.75,105,23,23,3,20,35,0,0,0,0,0,0,0,8.666666667,104
Metronidazole Injection 100ml - Flagyl 79,Medical Items,Pharmaceuticals,Bottle,13,0,6,3,24,1,24,0,0,0,0,0,5.916666667,71,8,0,6,1,21,4,15,0,0,2,3,0,5,60,10,0,5,4,20,0,20,0,0,0,0,0,4.916666667,59
MF CRP 50 Slides CTG 79,Medical Items,Laboratory Test Kits,Kit,0,0,4,0,0,4,3,0,0,3,4,2,1.666666667,20,3,3,0,0,0,0,0,0,0,4,0,0,0.833333333,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micro Centrifuge Tube 1.5ml Pk 500 (Unsensitized Tubes) 79,Medical Items,Laboratory Consumables,Packet,0,5,0,0,1,0,0,2,0,1,0,0,0.75,9,4,2,4,0,5,0,3,0,4,1,1,3,2.25,27,2,2,0,0,3,0,0,0,0,0,0,0,0.583333333,7
Micro Collection Tube Adapter 79,Medical Items,Laboratory Consumables,Numbers,0,0,0,0,0,1,3,0,0,2,3,0,0.75,9,0,1,0,0,3,3,0,0,0,0,0,0,0.583333333,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micro Sample Cup (1000pcs/Pkt) 79,Medical Items,Laboratory Consumables,Packet,2,0,3,5,0,0,0,3,3,0,0,0,1.333333333,16,4,1,0,3,4,0,6,0,0,0,0,0,1.5,18,1,2,1,5,0,0,2,0,0,0,0,0,0.916666667,11
Micro Sensor Check Fluif I & II - 6801755 79,Medical Items,Laboratory Test Kits,Numbers,0,3,1,2,0,2,0,0,0,0,0,0,0.666666667,8,0,2,0,1,4,0,3,4,0,0,0,0,1.166666667,14,0,0,0,0,1,0,0,0,0,0,0,0,0.083333333,1
Micro Slides - Frosted 79,Medical Items,Laboratory Consumables,Numbers,25,9,21,20,24,0,16,0,0,0,2,0,9.75,117,21,3,13,14,29,0,14,0,0,2,0,0,8,96,22,5,18,19,27,0,19,0,0,0,0,0,9.166666667,110
"Micropore Plaster - Surgical Tape, 1"" X 10yard (2.5cm X 9.1mtr) 79",Medical Items,Medical Consumables,Roll,644,138,223,535,155,4,665,2,0,0,0,0,197.1666667,2366,643,138,229,541,151,0,666,3,1,0,0,3,197.9166667,2375,646,138,226,540,156,0,666,0,0,0,0,0,197.6666667,2372
"Micropore Plaster - Surgical Tape, 1/2"" X 10yard (1.25cm X 9.1mtr) 79",Medical Items,Medical Consumables,Roll,50,50,2,0,25,4,0,0,3,0,1,0,11.25,135,44,43,0,3,25,3,0,0,0,2,3,0,10.25,123,48,48,0,5,24,0,0,0,0,0,0,0,10.41666667,125
"Micropore Plaster - Surgical Tape, 2"" (5cm X 9.14mtr) 79",Medical Items,Medical Consumables,Roll,40,64,168,38,70,28,102,0,0,3,0,4,43.08333333,517,33,63,165,42,67,23,102,3,4,2,2,0,42.16666667,506,36,66,168,42,72,24,102,0,0,0,0,0,42.5,510
"Micropore Plaster - Surgical Tape, 3""X10yard (7.6cm X 9.1mtr) 79",Medical Items,Medical Consumables,Roll,19,23,49,10,38,44,69,0,0,0,3,0,21.25,255,18,20,52,13,36,52,71,2,4,2,0,0,22.5,270,22,24,48,12,40,48,72,0,0,0,0,0,22.16666667,266
Microscope Cover Glass (Square) 22 x 22 mm - 100pcs/box 79,Medical Items,Laboratory Consumables,Box,4,5,5,0,4,5,1,0,0,0,0,2,2.166666667,26,0,3,0,0,4,2,0,2,0,0,3,3,1.416666667,17,1,1,5,0,2,1,1,0,0,0,0,0,0.916666667,11
Microscope Cover Glass (Square) 22 x 60 mm - 100pcs/box 79,Medical Items,Laboratory Consumables,Box,0,30,0,0,1,0,52,1,3,0,4,4,7.916666667,95,2,26,3,0,3,0,52,0,0,0,1,0,7.25,87,0,30,0,0,0,0,50,0,0,0,0,0,6.666666667,80
Microshield Handrub 79,Medical Items,Medical Consumables,Bottle,93,85,112,95,84,97,75,3,4,1,0,3,54.33333333,652,86,84,110,89,84,96,68,0,4,3,0,0,52,624,91,87,113,94,88,96,72,0,0,0,0,0,53.41666667,641
Microsns CK FLS I & II bx/2Sets 79,Medical Items,Laboratory Test Kits,Kit,1,4,0,0,3,0,0,1,3,0,0,1,1.083333333,13,0,0,0,3,0,0,0,4,0,1,0,1,0.75,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Midazolam Injection - 5mg/5ml - Dormicum 79,Narcotic,Controlled Drug,Ampule,62,84,37,80,650,44,76,1,0,0,0,1,86.25,1035,67,89,36,80,650,40,75,0,0,3,1,0,86.75,1041,66,85,35,85,652,40,80,0,0,0,0,0,86.91666667,1043
Mineral Water - Small 79,General Items,General Items,Case,1,3,1,3,0,3,0,0,0,2,1,0,1.166666667,14,8,0,3,5,0,3,5,2,4,0,0,0,2.5,30,6,3,1,4,1,1,2,0,0,0,0,0,1.5,18
Misoprostal Tablet- 25mg 79,Medical Items,Pharmaceuticals,Tab,3,0,3,0,1,37,0,3,1,0,0,0,4,48,0,1,4,0,0,41,0,3,1,0,0,2,4.333333333,52,0,0,0,0,0,40,0,0,0,0,0,0,3.333333333,40
Misoprostal Tablets-200mg 79,Medical Items,Pharmaceuticals,Tab,106,15,43,111,49,84,42,0,0,0,0,0,37.5,450,99,23,48,108,45,88,42,2,0,0,0,0,37.91666667,455,104,20,48,112,48,88,40,0,0,0,0,0,38.33333333,460
Monitoring Of Invasive Device 79,General Items,Printed Items,Pad,0,0,0,0,1,0,0,1,0,3,4,0,0.75,9,0,1,0,2,0,3,0,4,2,3,0,4,1.583333333,19,0,1,1,0,0,0,0,0,0,0,0,0,0.166666667,2
Mop Bucket 79,General Items,General Items,Numbers,0,4,0,0,1,0,4,0,2,0,0,0,0.916666667,11,2,4,0,0,1,3,2,0,0,0,0,4,1.333333333,16,0,0,0,0,0,0,1,0,0,0,0,0,0.083333333,1
Mop With Stick 79,General Items,General Items,Numbers,8,10,8,5,0,15,5,0,0,0,4,0,4.583333333,55,14,9,8,12,1,9,0,4,0,1,4,0,5.166666667,62,10,6,6,8,3,12,2,0,0,0,0,0,3.916666667,47
Morphine Injection 79,Narcotic,Controlled Drug,Ampule,0,0,0,0,27,12,0,0,0,2,3,0,3.666666667,44,3,4,0,0,20,8,1,2,0,0,1,0,3.25,39,0,0,0,0,25,10,0,0,0,0,0,0,2.916666667,35
Mosquito Repellent - Liquid (Machine) - Good Nite Brand Silver 79,General Items,General Items,Numbers,0,9,0,1,4,0,0,3,2,0,0,0,1.583333333,19,3,9,3,3,0,0,0,1,0,0,1,0,1.666666667,20,2,6,0,1,2,0,3,0,0,0,0,0,1.166666667,14
Mosquito Repellent - Liquid (Refill) - Good Nite Brand Advance 79,General Items,General Items,Numbers,0,7,2,2,0,4,0,4,0,0,3,4,2.166666667,26,0,4,0,0,1,0,0,0,0,0,0,4,0.75,9,2,4,0,0,0,0,0,0,0,0,0,0,0.5,6
Mouse 79,General Items,General Items,Numbers,2,4,5,2,0,4,0,2,0,0,0,2,1.75,21,0,0,0,0,4,1,0,3,2,0,0,0,0.833333333,10,0,0,1,0,0,0,0,0,0,0,0,0,0.083333333,1
Mouse Pad 79,General Items,General Items,Numbers,0,0,8,3,0,6,10,0,3,1,0,0,2.583333333,31,4,3,3,0,0,2,10,0,0,2,4,0,2.333333333,28,1,0,5,0,0,2,10,0,0,0,0,0,1.5,18
Mueller Hinton Agar 100g 79,Medical Items,Laboratory Test Kits,Bottle,0,0,2,0,0,2,0,0,0,0,4,0,0.666666667,8,0,4,0,3,0,0,4,0,0,0,0,0,0.916666667,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mueller Hinton Agar 500g 79,Medical Items,Laboratory Test Kits,Bottle,1,4,4,2,0,3,3,4,0,3,4,0,2.333333333,28,0,2,0,1,2,0,0,0,0,4,0,3,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Multirate Infusion LV Baxter Set 79,Medical Items,Oncology Items,Numbers,1,0,0,0,0,0,2,0,2,1,0,0,0.5,6,0,0,0,0,2,0,0,0,4,0,0,4,0.833333333,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Multistix - Reagent Strips For Urinalysis 79,Medical Items,Laboratory Consumables,Bottle,2,3,4,3,0,0,1,3,4,1,0,0,1.75,21,0,1,2,1,0,1,2,0,1,0,4,0,1,12,0,1,0,1,0,0,0,0,0,0,0,0,0.166666667,2
Mydriacyl 1% Eyedrops 79,Medical Items,Pharmaceuticals,Bottle,0,0,5,0,4,3,0,0,0,0,0,3,1.25,15,4,0,5,0,0,0,4,0,4,2,0,0,1.583333333,19,0,0,5,0,0,0,0,0,0,0,0,0,0.416666667,5
Nalidixic Acid 30mcg - Sd021-5ct 79,Medical Items,Laboratory Test Kits,Kit,0,0,4,0,0,1,0,1,0,0,3,0,0.75,9,0,4,0,4,3,0,0,3,2,4,0,0,1.666666667,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naloxone Injection 79,Narcotic,Controlled Drug,Ampule,0,0,15,0,0,8,7,0,0,0,1,1,2.666666667,32,0,0,19,0,0,8,9,0,3,0,3,0,3.5,42,0,0,18,0,2,10,10,0,0,0,0,0,3.333333333,40
Name Tags - Adult 79,Medical Items,Medical Consumables,Numbers,304,350,198,53,301,0,50,2,4,0,0,0,105.1666667,1262,304,347,195,47,298,1,52,1,3,0,0,0,104,1248,300,350,200,50,300,0,50,0,0,0,0,0,104.1666667,1250
Name Tags - Baby - Blue 79,Medical Items,Medical Consumables,Numbers,0,0,50,52,103,98,0,4,0,1,0,1,25.75,309,3,0,52,48,100,97,0,0,1,0,0,0,25.08333333,301,0,0,50,50,100,100,0,0,0,0,0,0,25,300
Name Tags - Baby - Pink 79,Medical Items,Medical Consumables,Numbers,0,0,51,0,0,151,0,0,0,0,4,0,17.16666667,206,0,2,45,0,0,150,0,3,3,0,2,3,17.33333333,208,0,0,50,0,0,150,0,0,0,0,0,0,16.66666667,200
Nasal Prong - Ref: BC 4030-10 - 10pcs/Box 79,Medical Items,Medical Consumables,Numbers,2,0,3,4,2,0,0,0,0,0,0,1,1,12,4,3,0,2,0,0,0,0,1,0,0,4,1.166666667,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nasal Prong - Ref: BC 4540-10 - 10pcs/Box 79,Medical Items,Medical Consumables,Numbers,3,1,0,0,0,0,0,1,0,0,4,0,0.75,9,2,4,0,0,0,3,0,0,3,0,0,4,1.333333333,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nasal Prong - Ref: BC 5040-10 - 10pcs/Box 79,Medical Items,Medical Consumables,Numbers,0,2,0,1,0,2,3,0,2,2,0,0,1,12,2,0,2,0,0,0,1,0,0,3,3,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nasal Prong - Ref: BC 5550-10 - 10pcs/Box 79,Medical Items,Medical Consumables,Numbers,0,0,0,2,1,0,0,0,0,0,0,2,0.416666667,5,0,2,0,4,0,2,0,2,0,1,0,0,0.916666667,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nasal Prong - Ref: BC 5560-10 - 10pcs/Box 79,Medical Items,Medical Consumables,Numbers,0,3,4,0,0,0,0,1,0,0,0,2,0.833333333,10,0,0,3,0,4,4,0,0,0,4,0,4,1.583333333,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nasogastric Tube - No: 18 79,Medical Items,Medical Consumables,Numbers,0,0,3,0,0,0,0,0,2,0,2,0,0.583333333,7,0,0,2,0,0,4,2,0,3,4,0,0,1.25,15,0,2,0,0,0,0,0,0,0,0,0,0,0.166666667,2
Nasogastric Tube - No: 19 79,Medical Items,Medical Consumables,Numbers,0,1,2,0,1,1,4,0,0,0,1,1,0.916666667,11,2,0,0,0,0,1,2,1,0,4,4,0,1.166666667,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nasopharyngeal Airways - Size : 6.5 79,Medical Items,Medical Consumables,Numbers,2,0,0,2,0,0,0,0,2,0,0,3,0.75,9,0,0,0,0,3,0,0,1,4,1,0,0,0.75,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nasopharyngeal Airways - Size : 7.0 79,Medical Items,Medical Consumables,Numbers,0,0,0,1,0,1,0,2,0,0,3,3,0.833333333,10,0,0,2,0,2,0,0,0,0,0,0,2,0.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nasopharyngeal Airways - Size : 8.0 79,Medical Items,Medical Consumables,Numbers,3,0,0,0,1,0,1,1,0,0,4,2,1,12,0,4,0,0,2,0,2,0,0,3,0,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Needle - 16g, 1.5 - 300637 (100/Box) 79",Medical Items,Medical Consumables,Box,7,1,10,6,0,2,0,4,1,0,0,0,2.583333333,31,8,3,11,7,1,8,0,0,2,0,4,0,3.666666667,44,11,5,9,6,1,5,0,0,0,0,0,0,3.083333333,37
"Needle - 18g, 1.20 X 38mm (302032) (100/Box) 79",Medical Items,Medical Consumables,Box,8,12,7,9,4,3,4,0,0,0,0,0,3.916666667,47,16,6,6,9,1,2,6,0,0,4,1,1,4.333333333,52,13,10,4,7,1,2,7,0,0,0,0,0,3.666666667,44
"Needle - 20g, 0.9 X 25mm (302025) (100/Box) 79",Medical Items,Medical Consumables,Box,0,3,3,2,2,0,5,0,2,3,1,3,2,24,2,0,2,6,0,0,2,0,3,0,0,0,1.25,15,0,0,0,2,2,0,1,0,0,0,0,0,0.416666667,5
"Needle - 21g, 0.8 X 25mm (302015) (100/Box) 79",Medical Items,Medical Consumables,Box,2,0,2,4,0,7,1,1,0,2,0,3,1.833333333,22,0,3,3,1,2,6,1,0,4,0,0,2,1.833333333,22,1,0,0,1,0,3,1,0,0,0,0,0,0.5,6
"Needle - 22g, 0.7 X 25mm (302803/300889) (100/Box) 79",Medical Items,Medical Consumables,Box,0,4,0,2,0,0,3,1,0,0,0,0,0.833333333,10,2,2,0,3,3,0,3,2,0,0,0,0,1.25,15,0,2,0,3,0,0,0,0,0,0,0,0,0.416666667,5
"Needle - 23g, 0.6 X 25mm (302804/300890) (100/Box) 79",Medical Items,Medical Consumables,Box,12,1,1,0,0,13,0,0,2,0,1,4,2.833333333,34,10,1,1,1,1,13,0,0,4,0,3,0,2.833333333,34,10,4,1,4,2,11,3,0,0,0,0,0,2.916666667,35
"Needle - 24g, 0.55 X 25mm (302805/300891) (100/Box) 79",Medical Items,Medical Consumables,Box,14,0,1,16,4,0,12,3,1,0,0,0,4.25,51,15,1,4,10,0,0,8,0,0,4,0,0,3.5,42,14,4,2,13,0,2,10,0,0,0,0,0,3.75,45
"Needle - 25g, 0.5 X 16mm (301807) (100/Box) 79",Medical Items,Medical Consumables,Box,0,0,2,5,3,0,4,3,0,0,0,0,1.416666667,17,0,0,0,3,0,0,4,1,0,2,2,1,1.083333333,13,1,0,0,2,2,1,0,0,0,0,0,0,0.5,6
"Needle - 26g, 0.45 X 13mm (302806/300892) (100/Box) 79",Medical Items,Medical Consumables,Box,1,3,5,11,0,5,100,4,0,4,0,0,11.08333333,133,4,0,4,15,5,0,99,0,0,0,2,3,11,132,5,1,2,13,2,3,104,0,0,0,0,0,10.83333333,130
Neosporin Ointment - Skin / Eye 79,Medical Items,Pharmaceuticals,Tube,0,1,0,3,0,0,4,2,0,0,2,2,1.166666667,14,0,4,0,0,0,4,3,4,0,0,0,4,1.583333333,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netillin (Netilmicin Sulphate) 30mcg - Sd085-5ct 79,Medical Items,Laboratory Test Kits,Kit,0,0,2,0,0,0,0,1,0,4,0,0,0.583333333,7,0,0,0,4,1,0,0,0,0,0,0,0,0.416666667,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Born Obervation Chart - A4 79,General Items,Printed Items,Pad,3,4,0,0,0,3,0,0,0,0,0,4,1.166666667,14,0,0,4,1,4,2,4,0,0,0,0,2,1.416666667,17,0,0,0,0,0,0,1,0,0,0,0,0,0.083333333,1
New Born Sheet (H-23) - A4 79,General Items,Printed Items,Pad,5,4,0,0,0,0,4,0,2,0,1,3,1.583333333,19,5,2,0,0,5,0,0,0,0,4,2,1,1.583333333,19,1,0,0,0,1,0,0,0,0,0,0,0,0.166666667,2
Nifedipine 10mg Capsule (Calcigard) 79,Medical Items,Pharmaceuticals,Caps,0,0,4,10,0,19,3,1,0,0,3,3,3.583333333,43,3,0,0,9,4,18,2,0,2,0,0,0,3.166666667,38,0,0,0,10,0,20,0,0,0,0,0,0,2.5,30
Nifedipine 5mg Capsule (Calcigard) 79,Medical Items,Pharmaceuticals,Caps,28,0,0,0,0,0,3,0,0,0,0,0,2.583333333,31,32,0,4,3,0,0,4,2,0,0,0,2,3.916666667,47,30,0,0,0,0,0,0,0,0,0,0,0,2.5,30
Nitrofurantoin 300mcg - Sd023-5ct 79,Medical Items,Laboratory Test Kits,Kit,0,2,0,0,0,2,0,1,0,2,3,0,0.833333333,10,0,0,3,0,3,1,0,2,2,1,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nitroglycerin Injection Usp, 5mg/Ml 79",Medical Items,Pharmaceuticals,Ampule,11,2,2,0,7,0,11,0,0,4,0,0,3.083333333,37,10,3,1,0,9,4,10,4,0,0,3,2,3.833333333,46,15,0,0,0,10,0,10,0,0,0,0,0,2.916666667,35
Non Sterile Gauze 10 X 10 Cm (100 Pcs/Pkt) 79,Medical Items,Medical Consumables,Packet,57,41,33,6,42,18,51,2,0,1,4,2,21.41666667,257,58,42,34,8,44,22,47,0,0,2,0,4,21.75,261,54,42,35,10,43,22,50,0,0,0,0,0,21.33333333,256
